fid,VALUE,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,layer,path,SAMPLE_TWI1,SAMPLE_SPI1,SAMPLE_slope1,SAMPLE_aspect1,SAMPLE_flow1,SAMPLE_road1,SAMPLE_river1,SAMPLE_LC1,SAMPLE_LC1_2,x,y,SAMPLE_rainfall1,SAMPLE_rainfall2
42,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385125.837608979,,,,3.50445246696472,2645.60888671875,1.55030679702759,341.565063476562,1706.50659179688,7620.53125,150,7,322.159301757812,385125.837608979,3015005.57589381,322.159301757812,255
43,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392107.147119743,,,,,30225.806640625,17.7120952606201,287.949401855469,1706.50659179688,827.586853027344,94.8683319091797,4,349.072448730469,392107.147119743,3007761.37188583,349.072448730469,255
44,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381825.051103889,,,,,31537.6015625,18.4807968139648,272.935668945312,1706.50659179688,9691.857421875,402.492218017578,7,361.332458496094,381825.051103889,3008257.95038637,361.332458496094,255
45,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406098.976641329,,,,,32189.20703125,2.21913313865662,353.659790039062,14505.306640625,7649.23486328125,42.4264068603516,5,281.64208984375,406098.976641329,3029260.29990951,281.64208984375,255
46,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385213.469109114,,,,6.76750087738037,50125.328125,29.3730640411377,135.616058349609,1706.50659179688,6668.44091796875,750,4,358.708190917969,385213.469109114,3008783.73938695,358.708190917969,255
47,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392282.410120014,,,,4.89074659347534,10582.435546875,1.55030679702759,161.565048217773,6826.0263671875,210,30,7,353.246612548828,392282.410120014,3010565.57988891,353.246612548828,255
48,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382438.471604835,,,,6.89672803878784,28588.251953125,16.7525005340576,14.8264770507812,1706.50659179688,9604.2177734375,108.166534423828,7,360.259887695312,382438.471604835,3009747.68588801,360.259887695312,255
49,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391260.042618437,,,,6.95228385925293,39268.86328125,23.0112571716309,49.0856170654297,1706.50659179688,301.496246337891,241.867736816406,4,348.439758300781,391260.042618437,3006388.4783839,348.439758300781,255
50,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400899.5076333,,,,8.35890865325928,38175.42578125,22.370512008667,224.157470703125,1706.50659179688,6615.3232421875,834.086303710938,4,320.396057128906,400899.5076333,3005833.47888329,320.396057128906,255
51,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407413.449143355,,,,7.17572355270386,28369.0546875,16.6240520477295,27.2995719909668,1706.50659179688,9664.4716796875,182.482879638672,7,276.779296875,407413.449143355,3011967.68389046,276.779296875,255
52,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384453.996107943,,,,7.22201824188232,49775.29296875,29.1679458618164,305.639831542969,1706.50659179688,6927.921875,90,4,359.182800292969,384453.996107943,3007410.84588502,359.182800292969,255
53,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405923.713641058,,,,,18656.697265625,21.8653678894043,68.0851364135742,853.253295898438,5274.03076171875,536.656311035156,4,214.371612548828,405923.713641058,3016875.04789586,214.371612548828,255
54,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405456.345640338,,,,,5020.59375,5.88406038284302,318.366455078125,853.253295898438,4752.13623046875,296.98486328125,4,209.554321289062,405456.345640338,3017137.94239615,209.554321289062,255
